Domain,Protocol
100-1-ch.cg-dialup.net,OpenVPN
101-1-ch.cg-dialup.net,OpenVPN
93-1-cl.cg-dialup.net,OpenVPN
94-1-cl.cg-dialup.net,OpenVPN
95-1-cn.cg-dialup.net,OpenVPN
96-1-cn.cg-dialup.net,OpenVPN
93-1-co.cg-dialup.net,OpenVPN
94-1-co.cg-dialup.net,OpenVPN
93-1-cr.cg-dialup.net,OpenVPN
94-1-cr.cg-dialup.net,OpenVPN
87-1-cy.cg-dialup.net,OpenVPN
97-1-cy.cg-dialup.net,OpenVPN
87-1-cz.cg-dialup.net,OpenVPN
97-1-cz.cg-dialup.net,OpenVPN
100-1-cz.cg-dialup.net,OpenVPN
101-1-cz.cg-dialup.net,OpenVPN
4-1-de.cg-dialup.net,OpenVPN
9-1-de.cg-dialup.net,OpenVPN
87-1-de.cg-dialup.net,OpenVPN
97-1-de.cg-dialup.net,OpenVPN
100-1-de.cg-dialup.net,OpenVPN
101-1-de.cg-dialup.net,OpenVPN
87-1-dk.cg-dialup.net,OpenVPN
97-1-dk.cg-dialup.net,OpenVPN
100-1-dk.cg-dialup.net,OpenVPN
101-1-dk.cg-dialup.net,OpenVPN
87-1-dz.cg-dialup.net,OpenVPN
97-1-dz.cg-dialup.net,OpenVPN
87-1-ee.cg-dialup.net,OpenVPN
97-1-ee.cg-dialup.net,OpenVPN
87-1-eg.cg-dialup.net,OpenVPN
97-1-eg.cg-dialup.net,OpenVPN
87-1-es.cg-dialup.net,OpenVPN
97-1-es.cg-dialup.net,OpenVPN
100-1-es.cg-dialup.net,OpenVPN
101-1-es.cg-dialup.net,OpenVPN
87-1-fi.cg-dialup.net,OpenVPN
97-1-fi.cg-dialup.net,OpenVPN
4-1-fr.cg-dialup.net,OpenVPN
9-1-fr.cg-dialup.net,OpenVPN
87-1-fr.cg-dialup.net,OpenVPN
97-1-fr.cg-dialup.net,OpenVPN
100-1-fr.cg-dialup.net,OpenVPN
101-1-fr.cg-dialup.net,OpenVPN
4-1-gb.cg-dialup.net,OpenVPN
9-1-gb.cg-dialup.net,OpenVPN
87-1-gb.cg-dialup.net,OpenVPN
97-1-gb.cg-dialup.net,OpenVPN
100-1-gb.cg-dialup.net,OpenVPN
101-1-gb.cg-dialup.net,OpenVPN
87-1-ge.cg-dialup.net,OpenVPN
97-1-ge.cg-dialup.net,OpenVPN
87-1-gl.cg-dialup.net,OpenVPN
97-1-gl.cg-dialup.net,OpenVPN
87-1-gr.cg-dialup.net,OpenVPN
97-1-gr.cg-dialup.net,OpenVPN
95-1-hk.cg-dialup.net,OpenVPN
96-1-hk.cg-dialup.net,OpenVPN
104-1-hk.cg-dialup.net,OpenVPN
105-1-hk.cg-dialup.net,OpenVPN
87-1-hu.cg-dialup.net,OpenVPN
97-1-hu.cg-dialup.net,OpenVPN
95-1-id.cg-dialup.net,OpenVPN
96-1-id.cg-dialup.net,OpenVPN
87-1-ie.cg-dialup.net,OpenVPN
97-1-ie.cg-dialup.net,OpenVPN
87-1-il.cg-dialup.net,OpenVPN
97-1-il.cg-dialup.net,OpenVPN
87-1-im.cg-dialup.net,OpenVPN
97-1-im.cg-dialup.net,OpenVPN
87-1-in.cg-dialup.net,OpenVPN
97-1-in.cg-dialup.net,OpenVPN
87-1-ir.cg-dialup.net,OpenVPN
97-1-ir.cg-dialup.net,OpenVPN
87-1-is.cg-dialup.net,OpenVPN
97-1-is.cg-dialup.net,OpenVPN
87-1-it.cg-dialup.net,OpenVPN
97-1-it.cg-dialup.net,OpenVPN
100-1-it.cg-dialup.net,OpenVPN
101-1-it.cg-dialup.net,OpenVPN
87-1-jp.cg-dialup.net,OpenVPN
95-1-jp.cg-dialup.net,OpenVPN
96-1-jp.cg-dialup.net,OpenVPN
97-1-jp.cg-dialup.net,OpenVPN
104-1-jp.cg-dialup.net,OpenVPN
105-1-jp.cg-dialup.net,OpenVPN
95-1-ke.cg-dialup.net,OpenVPN
96-1-ke.cg-dialup.net,OpenVPN
95-1-kh.cg-dialup.net,OpenVPN
96-1-kh.cg-dialup.net,OpenVPN
95-1-kr.cg-dialup.net,OpenVPN
96-1-kr.cg-dialup.net,OpenVPN
87-1-kz.cg-dialup.net,OpenVPN
97-1-kz.cg-dialup.net,OpenVPN
87-1-li.cg-dialup.net,OpenVPN
97-1-li.cg-dialup.net,OpenVPN
87-1-lk.cg-dialup.net,OpenVPN
97-1-lk.cg-dialup.net,OpenVPN
87-1-lt.cg-dialup.net,OpenVPN
97-1-lt.cg-dialup.net,OpenVPN
87-1-lu.cg-dialup.net,OpenVPN
97-1-lu.cg-dialup.net,OpenVPN
100-1-lu.cg-dialup.net,OpenVPN
101-1-lu.cg-dialup.net,OpenVPN
87-1-lv.cg-dialup.net,OpenVPN
97-1-lv.cg-dialup.net,OpenVPN
87-1-ma.cg-dialup.net,OpenVPN
97-1-ma.cg-dialup.net,OpenVPN
87-1-mc.cg-dialup.net,OpenVPN
97-1-mc.cg-dialup.net,OpenVPN
87-1-md.cg-dialup.net,OpenVPN
97-1-md.cg-dialup.net,OpenVPN
87-1-me.cg-dialup.net,OpenVPN
97-1-me.cg-dialup.net,OpenVPN
87-1-mk.cg-dialup.net,OpenVPN
97-1-mk.cg-dialup.net,OpenVPN
95-1-mn.cg-dialup.net,OpenVPN
96-1-mn.cg-dialup.net,OpenVPN
95-1-mo.cg-dialup.net,OpenVPN
96-1-mo.cg-dialup.net,OpenVPN
87-1-mt.cg-dialup.net,OpenVPN
97-1-mt.cg-dialup.net,OpenVPN
93-1-mx.cg-dialup.net,OpenVPN
94-1-mx.cg-dialup.net,OpenVPN
95-1-my.cg-dialup.net,OpenVPN
96-1-my.cg-dialup.net,OpenVPN
87-1-ng.cg-dialup.net,OpenVPN
97-1-ng.cg-dialup.net,OpenVPN
87-1-nl.cg-dialup.net,OpenVPN
97-1-nl.cg-dialup.net,OpenVPN
100-1-nl.cg-dialup.net,OpenVPN
101-1-nl.cg-dialup.net,OpenVPN
87-1-no.cg-dialup.net,OpenVPN
97-1-no.cg-dialup.net,OpenVPN
100-1-no.cg-dialup.net,OpenVPN
101-1-no.cg-dialup.net,OpenVPN
95-1-nz.cg-dialup.net,OpenVPN
96-1-nz.cg-dialup.net,OpenVPN
87-1-pa.cg-dialup.net,OpenVPN
97-1-pa.cg-dialup.net,OpenVPN
95-1-ph.cg-dialup.net,OpenVPN
96-1-ph.cg-dialup.net,OpenVPN
87-1-pk.cg-dialup.net,OpenVPN
97-1-pk.cg-dialup.net,OpenVPN
4-1-pl.cg-dialup.net,OpenVPN
9-1-pl.cg-dialup.net,OpenVPN
87-1-pl.cg-dialup.net,OpenVPN
97-1-pl.cg-dialup.net,OpenVPN
100-1-pl.cg-dialup.net,OpenVPN
101-1-pl.cg-dialup.net,OpenVPN
87-1-pt.cg-dialup.net,OpenVPN
97-1-pt.cg-dialup.net,OpenVPN
87-1-qa.cg-dialup.net,OpenVPN
97-1-qa.cg-dialup.net,OpenVPN
87-1-ro.cg-dialup.net,OpenVPN
97-1-ro.cg-dialup.net,OpenVPN
100-1-ro.cg-dialup.net,OpenVPN
101-1-ro.cg-dialup.net,OpenVPN
87-1-rs.cg-dialup.net,OpenVPN
97-1-rs.cg-dialup.net,OpenVPN
87-1-ru.cg-dialup.net,OpenVPN
97-1-ru.cg-dialup.net,OpenVPN
87-1-sa.cg-dialup.net,OpenVPN
97-1-sa.cg-dialup.net,OpenVPN
87-1-se.cg-dialup.net,OpenVPN
97-1-se.cg-dialup.net,OpenVPN
100-1-se.cg-dialup.net,OpenVPN
101-1-se.cg-dialup.net,OpenVPN
95-1-sg.cg-dialup.net,OpenVPN
96-1-sg.cg-dialup.net,OpenVPN
104-1-sg.cg-dialup.net,OpenVPN
105-1-sg.cg-dialup.net,OpenVPN
87-1-si.cg-dialup.net,OpenVPN
97-1-si.cg-dialup.net,OpenVPN
87-1-sk.cg-dialup.net,OpenVPN
97-1-sk.cg-dialup.net,OpenVPN
95-1-th.cg-dialup.net,OpenVPN
96-1-th.cg-dialup.net,OpenVPN
95-1-tw.cg-dialup.net,OpenVPN
96-1-tw.cg-dialup.net,OpenVPN
87-1-ua.cg-dialup.net,OpenVPN
97-1-ua.cg-dialup.net,OpenVPN
10-1-us.cg-dialup.net,OpenVPN
11-1-us.cg-dialup.net,OpenVPN
87-1-us.cg-dialup.net,OpenVPN
93-1-us.cg-dialup.net,OpenVPN
94-1-us.cg-dialup.net,OpenVPN
97-1-us.cg-dialup.net,OpenVPN
102-1-us.cg-dialup.net,OpenVPN
103-1-us.cg-dialup.net,OpenVPN
87-1-ve.cg-dialup.net,OpenVPN
97-1-ve.cg-dialup.net,OpenVPN
95-1-vn.cg-dialup.net,OpenVPN
96-1-vn.cg-dialup.net,OpenVPN
87-1-za.cg-dialup.net,OpenVPN
95-1-za.cg-dialup.net,OpenVPN
96-1-za.cg-dialup.net,OpenVPN
97-1-za.cg-dialup.net,OpenVPN
92-1-ad.cg-dialup.net,IPsec
92-1-ae.cg-dialup.net,IPsec
92-1-al.cg-dialup.net,IPsec
92-1-am.cg-dialup.net,IPsec
98-1-ar.cg-dialup.net,IPsec
20-1-at.cg-dialup.net,IPsec
92-1-at.cg-dialup.net,IPsec
31-1-au.cg-dialup.net,IPsec
99-1-au.cg-dialup.net,IPsec
92-1-ba.cg-dialup.net,IPsec
99-1-bd.cg-dialup.net,IPsec
20-1-be.cg-dialup.net,IPsec
92-1-be.cg-dialup.net,IPsec
92-1-bg.cg-dialup.net,IPsec
98-1-br.cg-dialup.net,IPsec
98-1-bs.cg-dialup.net,IPsec
92-1-by.cg-dialup.net,IPsec
98-1-ca.cg-dialup.net,IPsec
92-1-ch.cg-dialup.net,IPsec
98-1-cl.cg-dialup.net,IPsec
99-1-cn.cg-dialup.net,IPsec
98-1-co.cg-dialup.net,IPsec
98-1-cr.cg-dialup.net,IPsec
92-1-cy.cg-dialup.net,IPsec
92-1-cz.cg-dialup.net,IPsec
20-1-de.cg-dialup.net,IPsec
92-1-de.cg-dialup.net,IPsec
92-1-dk.cg-dialup.net,IPsec
92-1-dz.cg-dialup.net,IPsec
92-1-ee.cg-dialup.net,IPsec
92-1-eg.cg-dialup.net,IPsec
92-1-es.cg-dialup.net,IPsec
98-1-es.cg-dialup.net,IPsec
92-1-fi.cg-dialup.net,IPsec
20-1-fr.cg-dialup.net,IPsec
92-1-fr.cg-dialup.net,IPsec
98-1-fr.cg-dialup.net,IPsec
20-1-gb.cg-dialup.net,IPsec
92-1-gb.cg-dialup.net,IPsec
92-1-ge.cg-dialup.net,IPsec
92-1-gl.cg-dialup.net,IPsec
92-1-gr.cg-dialup.net,IPsec
99-1-hk.cg-dialup.net,IPsec
92-1-hu.cg-dialup.net,IPsec
99-1-id.cg-dialup.net,IPsec
92-1-ie.cg-dialup.net,IPsec
92-1-il.cg-dialup.net,IPsec
92-1-im.cg-dialup.net,IPsec
92-1-in.cg-dialup.net,IPsec
92-1-ir.cg-dialup.net,IPsec
92-1-is.cg-dialup.net,IPsec
92-1-it.cg-dialup.net,IPsec
92-1-jp.cg-dialup.net,IPsec
99-1-jp.cg-dialup.net,IPsec
99-1-ke.cg-dialup.net,IPsec
99-1-kh.cg-dialup.net,IPsec
99-1-kr.cg-dialup.net,IPsec
92-1-kz.cg-dialup.net,IPsec
92-1-li.cg-dialup.net,IPsec
92-1-lk.cg-dialup.net,IPsec
92-1-lt.cg-dialup.net,IPsec
92-1-lu.cg-dialup.net,IPsec
92-1-lv.cg-dialup.net,IPsec
92-1-ma.cg-dialup.net,IPsec
92-1-mc.cg-dialup.net,IPsec
92-1-md.cg-dialup.net,IPsec
92-1-me.cg-dialup.net,IPsec
92-1-mk.cg-dialup.net,IPsec
99-1-mn.cg-dialup.net,IPsec
99-1-mo.cg-dialup.net,IPsec
92-1-mt.cg-dialup.net,IPsec
98-1-mx.cg-dialup.net,IPsec
99-1-my.cg-dialup.net,IPsec
92-1-ng.cg-dialup.net,IPsec
92-1-nl.cg-dialup.net,IPsec
92-1-no.cg-dialup.net,IPsec
98-1-no.cg-dialup.net,IPsec
99-1-nz.cg-dialup.net,IPsec
92-1-pa.cg-dialup.net,IPsec
99-1-ph.cg-dialup.net,IPsec
92-1-pk.cg-dialup.net,IPsec
20-1-pl.cg-dialup.net,IPsec
92-1-pl.cg-dialup.net,IPsec
92-1-pt.cg-dialup.net,IPsec
92-1-qa.cg-dialup.net,IPsec
92-1-ro.cg-dialup.net,IPsec
92-1-rs.cg-dialup.net,IPsec
92-1-ru.cg-dialup.net,IPsec
92-1-sa.cg-dialup.net,IPsec
92-1-se.cg-dialup.net,IPsec
98-1-se.cg-dialup.net,IPsec
99-1-sg.cg-dialup.net,IPsec
92-1-si.cg-dialup.net,IPsec
92-1-sk.cg-dialup.net,IPsec
99-1-th.cg-dialup.net,IPsec
99-1-tw.cg-dialup.net,IPsec
92-1-ua.cg-dialup.net,IPsec
30-1-us.cg-dialup.net,IPsec
92-1-us.cg-dialup.net,IPsec
98-1-us.cg-dialup.net,IPsec
92-1-ve.cg-dialup.net,IPsec
99-1-vn.cg-dialup.net,IPsec
92-1-za.cg-dialup.net,IPsec
99-1-za.cg-dialup.net,IPsec
6-1-au.cg-dialup.net,L2TP
3-1-ca.cg-dialup.net,L2TP
6-1-de.cg-dialup.net,L2TP
6-1-fr.cg-dialup.net,L2TP
6-1-gb.cg-dialup.net,L2TP
6-1-hk.cg-dialup.net,L2TP
3-1-us.cg-dialup.net,L2TP
7-1-au.cg-dialup.net,PPTP
7-1-ca.cg-dialup.net,PPTP
7-1-de.cg-dialup.net,PPTP
7-1-fr.cg-dialup.net,PPTP
7-1-gb.cg-dialup.net,PPTP
7-1-hk.cg-dialup.net,PPTP
7-1-us.cg-dialup.net,PPTP
